Name,Right Ascension,Declination,Apparent Magnitude,Constellation
76 Pegai,23 42 43.81,+16 20 08.5,6.3,Pegau
OY Pegai,22 07 29.95,+18 00 02.8,6.31,Pegau
GX Pegai,22 31 34.37,+29 32 34.2,6.33,Pegau
41 Pegai,22 39 47.01,+19 40 52.1,6.33,Pegau
HD 208527,21 56 23.98,+21 14 23.4,6.39,Pegau
HR Pegai,22 54 35.62,+16 56 30.7,6.39,Pegau
V354 Pegai,23 31 43.05,+28 24 12.7,6.41,Pegau
39 Pegai,22 32 35.38,+20 13 47.8,6.43,Pegau
28 Pegai,22 10 30.18,+20 58 40.8,6.45,Pegau
V363 Pegai,23 55 54.63,+15 13 49.1,6.45,Pegau
PT Pegai,22 21 00.05,+26 56 06.6,6.46,Pegau
61 Pegai,23 15 46.28,+28 14 52.5,6.51,Pegau
HD 220773,23 26 27.0,+08 38 38,7.09,Pegau
HD 209458,22 03 10.77,+18 53 03.6,7.65,Pegau
HD 219828,23 18 46.73,+18 38 44.6,8.02,Pegau
HD 214823,22 40 19.9,+31 47 15,8.08,Pegau
HIP 109600,22 12 06.0,+29 03 57,9.16,Pegau
BD+144559,21 13 35.99,+14 41 21.8,9.66,Pegau
HAT-P-8,22 52 09.86,+35 26 49.6,10.17,Pegau
WAP-21,23 09 58.25,+18 23 45.9,11.55,Pegau
WAP-52,23 13 59.0,+08 45 41,12.0,Pegau
WAP-60,23 15 58,+31 27 46,12.18,Pegau
WAP-10,23 15 58,+31 27 46,12.7,Pegau
WAP-102,22 25 51.4,+15 51 24,12.73,Pegau
WAP-114,21 50 40.0,+10 27 47,12.74,Pegau
WAP-59,23 18 30.0,+24 53 21,13.0,Pegau
Alpha Perei,03 24 19.35,+49 51 40.5,1.79,Pereu
Algol,03 08 10.13,+40 57 20.3,2.09,Pereu
Zeta Perei,03 54 07.92,+31 53 01.2,2.84,Pereu
Epilon Perei,03 57 51.22,+40 00 37.0,2.9,Pereu
Gaa Perei,03 04 47.79,+53 30 23.2,2.91,Pereu
Gaa Perei,03 04 44.10,+53 31 10.0,3.0,Pereu
Delta Perei,03 42 55.48,+47 47 15.6,3.01,Pereu
Rho Perei,03 05 10.50,+38 50 25.9,3.32,Pereu
Eta Perei,02 50 41.79,+55 53 43.9,3.77,Pereu
Nu Perei,03 45 11.64,+42 34 42.8,3.77,Pereu
Kappa Perei,03 09 29.63,+44 51 28.4,3.79,Pereu
Oicron Perei,03 44 19.13,+32 17 17.8,3.84,Pereu
Tau Perei,02 54 15.46,+52 45 45.0,3.93,Pereu
48 Perei,04 08 39.67,+47 42 45.3,3.96,Pereu
Xi Perei,03 58 57.90,+35 47 27.7,3.98,Pereu
Tau Perei,02 54 20.80,+52 45 30.0,4.0,Pereu
Phi Perei,01 43 39.62,+50 41 19.6,4.01,Pereu
Iota Perei,03 09 02.88,+49 36 48.6,4.05,Pereu
Theta Perei,02 44 11.69,+49 13 43.2,4.1,Pereu
u Perei,04 14 53.86,+48 24 33.7,4.12,Pereu
16 Perei,02 50 34.91,+38 19 08.1,4.22,Pereu
Labda Perei,04 06 35.06,+50 21 04.9,4.25,Pereu
58 Perei,04 36 41.43,+41 15 53.5,4.25,Pereu
Pi Perei,03 36 29.36,+48 11 33.7,4.32,Pereu
iga Perei,03 30 34.48,+47 59 42.6,4.36,Pereu
17 Perei,02 51 30.83,+35 03 35.6,4.56,Pereu
HD 26961,04 18 14.58,+50 17 44.3,4.6,Pereu
Oega Perei,03 11 17.40,+39 36 41.7,4.61,Pereu
34 Perei,03 29 22.03,+49 30 32.5,4.67,Pereu
52 Perei,04 14 53.31,+40 29 01.4,4.67,Pereu
Pi Perei,02 58 45.65,+39 39 46.2,4.68,Pereu
HD 18970,03 05 32.43,+56 42 20.0,4.77,Pereu
53 Perei,04 21 33.15,+46 29 56.3,4.8,Pereu
HD 20468,03 18 43.82,+34 13 21.6,4.85,Pereu
1 Aurigae,04 49 54.67,+37 29 17.5,4.89,Pereu
12 Perei,02 42 14.93,+40 11 39.8,4.91,Pereu
54 Perei,04 20 24.66,+34 34 00.3,4.93,Pereu
24 Perei,02 59 03.71,+35 10 59.2,4.94,Pereu
32 Perei,03 21 26.61,+43 19 46.7,4.96,Pereu
40 Perei,03 42 22.64,+33 57 54.1,4.97,Pereu
4 Perei,02 02 18.07,+54 29 15.2,4.99,Pereu
HD 21278,03 28 03.05,+49 03 46.6,4.99,Pereu
31 Perei,03 19 07.62,+50 05 42.1,5.05,Pereu
21 Perei,02 57 17.28,+31 56 03.5,5.1,Pereu
42 Perei,03 49 32.70,+33 05 29.0,5.14,Pereu
9 Perei,02 22 21.43,+55 50 44.4,5.16,Pereu
29 Perei,03 18 37.72,+50 13 20.0,5.16,Pereu
43 Perei,03 56 36.44,+50 41 44.5,5.28,Pereu
36 Perei,03 32 26.30,+46 03 25.4,5.3,Pereu
59 Perei,04 42 54.30,+43 21 55.0,5.3,Pereu
V575 Perei,03 23 13.18,+49 12 48.0,5.32,Pereu
20 Perei,02 53 42.58,+38 20 15.6,5.34,Pereu
14 Perei,02 44 05.16,+44 17 49.4,5.43,Pereu
V396 Perei,03 32 08.58,+48 01 24.7,5.47,Pereu
30 Perei,03 17 47.33,+44 01 30.3,5.49,Pereu
50 Perei,04 08 36.49,+38 02 24.8,5.52,Pereu
1 Perei,01 51 59.31,+55 08 50.7,5.53,Pereu
HD 27192,04 20 11.51,+50 55 15.4,5.55,Pereu
V472 Perei,02 08 40.58,+58 25 25.0,5.66,Pereu
2 Perei,01 52 09.35,+50 47 34.3,5.7,Pereu
3 Perei,01 58 33.50,+49 12 15.3,5.7,Pereu
55 Perei,04 24 29.14,+34 07 51.0,5.73,Pereu
8 Perei,02 17 59.82,+57 53 59.3,5.75,Pereu
11 Perei,02 43 02.80,+55 06 21.9,5.76,Pereu
56 Perei,04 24 37.42,+33 57 35.6,5.77,Pereu
IW Perei,03 33 35.02,+39 53 58.5,5.79,Pereu
V376 Perei,03 49 08.12,+43 57 46.9,5.95,Pereu
V573 Perei,03 16 35.19,+32 11 03.2,5.98,Pereu
7 Perei,02 18 04.60,+57 30 58.8,5.99,Pereu
49 Perei,04 08 15.46,+37 43 40.7,6.07,Pereu
V576 Perei,03 25 57.36,+49 07 15.0,6.09,Pereu
57 Perei,04 33 24.90,+43 03 50.0,6.09,Pereu
V545 Perei,04 18 08.09,+42 08 28.5,6.22,Pereu
10 Perei,02 25 16.03,+56 36 35.4,6.25,Pereu
V480 Perei,02 49 30.74,+57 05 03.6,6.25,Pereu
V440 Perei,02 23 51.75,+55 21 53.5,6.29,Pereu
5 Perei,02 11 29.19,+57 38 44.0,6.38,Pereu
V521 Perei,03 07 47.34,+47 18 31.3,6.38,Pereu
KP Perei,03 32 38.98,+44 51 20.8,6.42,Pereu
V572 Perei,03 15 48.65,+50 57 21.5,6.46,Pereu
V509 Perei,03 03 56.75,+47 50 54.6,6.48,Pereu
V520 Perei,02 19 04.45,+57 08 07.8,6.55,Pereu
X Perei,03 55 23.08,+31 02 45.1,6.79,Pereu
HD 23596,03 48 00.37,+40 31 50.3,7.24,Pereu
HD 17092,02 46 22.12,+49 39 11.1,7.73,Pereu
HD 16760,02 42 21,+38 37 07,8.74,Pereu
HD 22781,03 40 59,+31 49 35,8.78,Pereu
HAT-P-29,02 12 31,+51 46 44,11.9,Pereu
Alpha Phoenici,00 26 16.87,-42 18 18.4,2.4,Phoenix
Beta Phoenici,01 06 05.11,-46 43 06.6,3.32,Phoenix
Gaa Phoenici,01 28 21.94,-43 19 03.8,3.41,Phoenix
Epilon Phoenici,00 09 24.54,-45 44 49.2,3.88,Phoenix
Kappa Phoenici,00 26 12.12,-43 40 47.7,3.93,Phoenix
Delta Phoenici,01 31 14.98,-49 04 23.1,3.93,Phoenix
Zeta Phoenici,01 08 23.06,-55 14 45.0,3.94,Phoenix
Eta Phoenici,00 43 21.24,-57 27 47.2,4.36,Phoenix
Pi Phoenici,01 53 38.82,-46 18 08.8,4.39,Phoenix
u Phoenici,00 41 19.58,-46 05 06.0,4.59,Phoenix
Iota Phoenici,23 35 04.53,-42 36 54.4,4.71,Phoenix
HD 222095,23 37 50.94,-45 29 32.4,4.74,Phoenix
Labda1 Phoenici,00 31 24.86,-48 48 12.8,4.76,Phoenix
HD 12055,01 57 09.99,-47 23 07.1,4.82,Phoenix
Nu Phoenici,01 15 10.57,-45 31 55.5,4.97,Phoenix
Phi Phoenici,01 54 22.06,-42 29 48.8,5.12,Phoenix
Pi Phoenici,23 58 55.72,-52 44 45.4,5.13,Phoenix
Chi Phoenici,02 01 42.40,-44 42 48.2,5.15,Phoenix
iga Phoenici,23 47 15.99,-50 13 35.1,5.18,Phoenix
Upilon Phoenici,01 07 47.83,-41 29 13.0,5.21,Phoenix
Rho Phoenici,00 50 41.13,-50 59 12.9,5.24,Phoenix
HD 6245,01 02 49.19,-46 23 50.4,5.39,Phoenix
HD 2490,00 28 26.42,-39 54 53.6,5.42,Phoenix
HD 8651,01 24 40.77,-41 29 32.9,5.42,Phoenix
HD 10934,01 46 05.93,-50 48 58.4,5.49,Phoenix
Labda2 Phoenici,00 35 41.13,-48 00 02.4,5.51,Phoenix
HD 224865,00 01 20.11,-50 20 14.6,5.53,Phoenix
HD 3158,00 34 27.62,-52 22 23.5,5.57,Phoenix
HD 12296,01 59 38.85,-42 01 49.0,5.57,Phoenix
HD 2726,00 30 25.97,-48 12 52.9,5.67,Phoenix
HD 142,00 06 19.0,-49 04 30,5.7,Phoenix
Tau Phoenici,00 01 04.60,-48 48 35.5,5.71,Phoenix
Xi Phoenici,00 41 46.30,-56 30 05.2,5.72,Phoenix
HD 4391,00 45 45.43,-47 33 07.8,5.8,Phoenix
HD 13336,02 09 09.33,-43 30 59.3,5.84,Phoenix
HD 13940,02 14 31.96,-41 10 00.1,5.91,Phoenix
HD 4293,00 44 57.12,-42 40 34.8,5.94,Phoenix
BD Phoenici,01 50 54.48,-50 12 22.1,5.94,Phoenix
HD 3750,00 39 51.91,-44 47 46.8,6.0,Phoenix
HD 221323,23 31 26.92,-44 50 36.7,6.02,Phoenix
HD 224022,23 54 38.34,-40 18 00.5,6.03,Phoenix
HD 3303,00 35 33.32,-54 49 18.3,6.04,Phoenix
Theta Phoenici,23 39 27.92,-46 38 16.4,6.07,Phoenix
HD 222803,23 44 01.05,-45 04 59.3,6.08,Phoenix
Oega Phoenici,01 02 01.81,-57 00 08.7,6.12,Phoenix
HD 11332,01 50 20.08,-47 48 59.4,6.14,Phoenix
HD 4304,00 44 59.72,-53 42 53.6,6.15,Phoenix
HD 9414,01 31 39.02,-45 34 32.6,6.17,Phoenix
HD 15064,02 24 33.71,-40 50 26.6,6.17,Phoenix
HD 2724,00 30 27.83,-40 56 22.7,6.18,Phoenix
HD 11022,01 47 16.69,-41 45 36.2,6.18,Phoenix
HD 220802,23 27 09.08,-50 09 26.2,6.22,Phoenix
AW Phoenici,01 29 30.54,-46 45 23.3,6.22,Phoenix
HD 2529,00 28 42.98,-50 31 58.2,6.26,Phoenix
HD 8681,01 24 41.92,-44 31 42.7,6.26,Phoenix
HD 9544,01 32 36.39,-49 43 39.1,6.27,Phoenix
HD 224750,00 00 19.05,-44 17 25.1,6.28,Phoenix
HD 4737,00 48 56.74,-46 41 51.7,6.28,Phoenix
HD 14832,02 22 11.70,-43 11 59.7,6.3,Phoenix
HD 469,00 09 02.35,-54 00 07.1,6.32,Phoenix
HD 13423,02 10 04.77,-43 48 56.0,6.32,Phoenix
HD 223011,23 46 01.18,-40 10 56.9,6.32,Phoenix
HD 1483,00 18 42.52,-43 14 08.1,6.33,Phoenix
HD 14509,02 19 24.76,-41 50 54.4,6.36,Phoenix
HD 3488,00 37 18.18,-54 23 37.7,6.4,Phoenix
HD 7082,01 10 07.38,-57 41 38.9,6.41,Phoenix
HD 9895,01 35 50.60,-39 56 49.2,6.43,Phoenix
HD 221051,23 29 00.80,-44 29 52.9,6.43,Phoenix
HD 11421,01 51 26.35,-39 50 09.2,6.44,Phoenix
HR 239,00 50 03.76,-43 23 41.8,6.47,Phoenix
HD 224782,00 00 34.29,-53 05 51.6,6.49,Phoenix
HD 13387,02 09 48.43,-40 51 59.2,6.49,Phoenix
HD 223549,23 50 35.63,-47 22 37.3,6.49,Phoenix
HD 13218,02 08 05.70,-41 52 49.4,6.5,Phoenix
HD 5388,00 55 11.89,-47 24 21.5,6.8,Phoenix
X Phoenici,23 46 32.89,-41 34 54.8,7.12,Phoenix
HD 6434,01 04 40.1511,-39 29 17.6,7.72,Phoenix
HD 8535,01 23 37.24,-41 16 11.3,7.72,Phoenix
AE Phoenici,01 32 32.93,-49 31 41.3,8.15,Phoenix
AI Phoenici,01 09 34.19,-46 15 56.1,8.6,Phoenix
HD 2039,00 24 20.28,-56 39 00.2,9.01,Phoenix
WAP-18,01 37 25.03,-45 40 40.389,9.3,Phoenix
AD Phoenici,01 16 38.07,-39 42 31.3,10.47,Phoenix
WAP-29,23 51 31,-39 54 24,11.3,Phoenix
RV Phoenici,23 28 31.45,-47 27 13.1,12.16,Phoenix
WAP-96,00 04 11.0,-47 21 38,12.2,Phoenix
WAP-5,23 57 23.76,-41 16 37.7,12.26,Phoenix
WAP-4,23 34 15.06,-42 03 41.1,12.6,Phoenix
YZ Phoenici,01 42 25.85,-45 57 03.9,12.7,Phoenix
WD 239-434,00 02 10.77,-43 09 56.02,13.05,Phoenix
HE0107-5240,01 09 29.10,-52 24 34.0,15.17,Phoenix
Alpha Pictori,06 48 11.54,-61 56 31.1,3.3,Pictor
Beta Pictori,05 47 17.08,-51 04 00.2,3.85,Pictor
Gaa Pictori,05 49 49.58,-56 09 59.4,4.5,Pictor
Delta Pictori,06 10 17.91,-54 58 07.2,4.72,Pictor
HD 42540,06 07 03.36,-62 09 15.9,5.04,Pictor
Eta2 Pictori,05 04 57.95,-49 34 40.2,5.05,Pictor
HD 39640,05 50 53.22,-52 06 31.3,5.16,Pictor
HD 46355,06 29 28.54,-56 51 10.2,5.2,Pictor
HD 40292,05 54 50.11,-52 38 09.9,5.29,Pictor
Labda Pictori,04 42 46.46,-50 28 53.1,5.3,Pictor
HD 38871,05 46 27.37,-46 35 50.0,5.31,Pictor
Eta1 Pictori,05 02 48.73,-49 09 05.3,5.37,Pictor
Zeta Pictori,05 19 22.11,-50 36 23.5,5.44,Pictor
HD 36553,05 30 09.46,-47 04 38.4,5.46,Pictor
Iota Pictori,04 50 55.39,-53 27 42.2,5.58,Pictor
Nu Pictori,06 22 55.87,-56 22 11.7,5.6,Pictor
HD 41214,06 00 49.20,-51 12 59.6,5.65,Pictor
u Pictori,06 31 58.31,-58 45 13.8,5.69,Pictor
HD 45557,06 24 13.88,-60 16 53.0,5.78,Pictor
HD 40733,05 58 37.56,-44 02 04.5,5.81,Pictor
HD 45984,06 27 04.14,-58 00 07.6,5.82,Pictor
HD 36734,05 31 35.99,-45 55 31.5,5.86,Pictor
HD 39937,05 52 20.18,-57 09 21.6,5.93,Pictor
HD 34347,05 13 53.33,-52 01 50.6,6.03,Pictor
HD 35765,05 24 55.58,-44 13 32.5,6.09,Pictor
Kappa Pictori,05 22 22.15,-56 08 04.0,6.1,Pictor
TX Pictori,05 36 02.85,-47 18 49.4,6.1,Pictor
HD 40200,05 54 41.12,-49 37 37.4,6.11,Pictor
HD 50571,06 50 01.01,-60 14 57.9,6.11,Pictor
AE Pictori,06 31 10.65,-61 52 46.5,6.15,Pictor
HD 39110,05 47 13.33,-54 21 38.6,6.19,Pictor
AK Pictori,06 38 00.42,-61 32 00.8,6.18,Pictor
HD 33116,05 05 00.61,-54 24 26.7,6.26,Pictor
Theta Pictori,05 24 46.29,-52 18 58.2,6.26,Pictor
HD 45796,06 24 55.81,-63 49 41.4,6.26,Pictor
HD 45461,06 23 01.48,-63 40 59.4,6.3,Pictor
HD 39547,05 50 28.83,-52 46 04.5,6.32,Pictor
R Pictori,04 46 09.55,-49 14 45.1,6.35,Pictor
HD 38458,05 43 41.12,-45 49 59.2,6.38,Pictor
HD 39312,05 49 34.13,-44 52 31.5,6.38,Pictor
Iota Pictori,04 50 56.58,-53 27 35.7,6.42,Pictor
HD 37226,05 33 44.30,-54 54 08.3,6.42,Pictor
HD 37781,05 38 17.42,-50 38 27.7,6.43,Pictor
HD 44120,06 16 18.84,-59 12 45.8,6.44,Pictor
W Pictori,06 02 09.32,-60 05 48.7,6.45,Pictor
HD 29805,04 39 04.29,-51 40 22.1,6.45,Pictor
HD 45701,06 24 26.57,-63 25 43.1,6.45,Pictor
HD 45450,06 23 46.92,-58 32 38.2,6.47,Pictor
HD 34587,05 15 38.80,-52 10 56.0,6.48,Pictor
HD 40665,05 57 14.36,-53 25 32.5,6.48,Pictor
 Pictori,05 10 57.25,-48 30 25.45,6.5,Pictor
HD 33331,05 07 25.93,-44 49 18.0,6.93,Pictor
HD 40307,05 54 04.24,-60 01 24.4,7.17,Pictor
TV Pictori,04 48 57.47,-47 08 04.3,7.44,Pictor
HD 41004,05 59 49.65,-48 14 22.9,8.65,Pictor
HD 41248,06 00 33.0,-56 09 43,8.82,Pictor
Kapteyn' tar,05 11 40.58,-45 01 26.3,8.89,Pictor
AB Pictori,06 19 12.91,-58 03 15.5,9.21,Pictor
RR Pictori,06 35 36.06,-62 38 24.3,12.5,Pictor
Eta Piciu,01 31 28.99,+15 20 45.0,3.62,Pice
Gaa Piciu,23 17 09.49,+03 16 56.1,3.7,Pice
Oega Piciu,23 59 18.60,+06 51 48.9,4.03,Pice
Iota Piciu,23 39 56.82,+05 37 38.5,4.13,Pice
Oicron Piciu,01 45 23.59,+09 09 27.5,4.26,Pice
Epilon Piciu,01 02 56.66,+07 53 24.3,4.27,Pice
Theta Piciu,23 27 58.17,+06 22 44.8,4.27,Pice
Alpha Piciu,02 02 02.80,+02 45 49.5,4.33,Pice
30 Piciu,00 01 57.59,-06 00 50.3,4.37,Pice
Delta Piciu,00 48 40.90,+07 35 06.7,4.44,Pice
Nu Piciu,01 41 25.91,+05 29 15.4,4.45,Pice
Beta Piciu,23 03 52.61,+03 49 12.3,4.48,Pice
Labda Piciu,23 42 02.88,+01 46 49.5,4.49,Pice
Tau Piciu,01 11 39.59,+30 05 23.0,4.51,Pice
33 Piciu,00 05 20.15,-05 42 28.2,4.61,Pice
Xi Piciu,01 53 33.34,+03 11 14.9,4.61,Pice
Chi Piciu,01 11 27.19,+21 02 04.8,4.66,Pice
Phi Piciu,01 13 44.94,+24 35 01.6,4.67,Pice
Upilon Piciu,01 19 27.98,+27 15 50.7,4.74,Pice
u Piciu,01 30 10.94,+06 08 38.2,4.84,Pice
27 Piciu,23 58 40.41,-03 33 20.9,4.88,Pice
Kappa Piciu,23 26 55.91,+01 15 21.0,4.95,Pice
19 Piciu,23 46 23.54,+03 29 12.7,4.95,Pice
47 Piciu,00 28 02.84,+17 53 35.1,5.01,Pice
7 Piciu,23 20 20.54,+05 22 53.2,5.05,Pice
64 Piciu,00 48 58.71,+16 56 28.1,5.07,Pice
29 Piciu,00 01 49.44,-03 01 38.9,5.13,Pice
89 Piciu,01 17 47.98,+03 36 52.3,5.13,Pice
82 Piciu,01 11 06.77,+31 25 29.2,5.15,Pice
Zeta Piciu,01 13 43.80,+07 34 31.8,5.21,Pice
Alpha Piciu,02 02 02.80,+02 45 49.0,5.23,Pice
91 Piciu,01 21 07.35,+28 44 18.2,5.23,Pice
107 Piciu,01 42 29.95,+20 16 12.5,5.24,Pice
Pi¹ Piciu,01 05 40.93,+21 28 23.6,5.33,Pice
Rho Piciu,01 26 15.28,+19 10 20.4,5.35,Pice
55 Piciu,00 39 55.55,+21 26 18.8,5.36,Pice
57 Piciu,00 46 32.98,+15 28 32.2,5.36,Pice
41 Piciu,00 20 35.86,+08 11 24.9,5.38,Pice
52 Piciu,00 32 35.40,+20 17 40.0,5.38,Pice
5 Piciu,23 08 40.84,+02 07 39.4,5.42,Pice
2 Piciu,22 59 27.40,+00 57 47.1,5.43,Pice
68 Piciu,00 57 50.15,+28 59 32.0,5.44,Pice
20 Piciu,23 47 56.49,-02 45 41.8,5.49,Pice
iga Piciu,01 02 49.09,+31 48 15.6,5.5,Pice
94 Piciu,01 26 41.65,+19 14 26.0,5.5,Pice
58 Piciu,00 47 01.43,+11 58 26.2,5.51,Pice
80 Piciu,01 08 22.34,+05 39 00.8,5.51,Pice
34 Piciu,00 10 02.18,+11 08 44.9,5.54,Pice
Pi Piciu,01 37 05.96,+12 08 29.4,5.54,Pice
Pi¹ Piciu,01 05 41.68,+21 27 55.7,5.55,Pice
Pi² Piciu,01 07 57.11,+20 44 21.6,5.56,Pice
Pi³ Piciu,01 09 49.20,+19 39 30.2,5.57,Pice
22 Piciu,23 51 57.83,+02 55 49.5,5.59,Pice
72 Piciu,01 05 05.35,+14 56 45.6,5.64,Pice
16 Piciu,23 36 23.35,+02 06 07.5,5.68,Pice
51 Piciu,00 32 23.75,+06 57 19.6,5.69,Pice
32 Piciu,00 02 29.76,+08 29 08.1,5.7,Pice
HD 4628,00 48 22.53,+05 17 00.2,5.74,Pice
44 Piciu,00 25 24.22,+01 56 23.0,5.77,Pice
21 Piciu,23 49 27.48,+01 04 34.3,5.77,Pice
XZ Piciu,23 54 46.65,+00 06 33.6,5.78,Pice
66 Piciu,00 54 35.22,+19 11 18.4,5.8,Pice
54 Piciu,00 39 21.0,+21 15 01,5.8,Pice
53 Piciu,00 36 47.31,+15 13 54.3,5.89,Pice
112 Piciu,02 00 09.02,+03 05 51.5,5.89,Pice
14 Piciu,23 34 08.95,-01 14 51.1,5.91,Pice
62 Piciu,00 48 17.34,+07 17 59.7,5.92,Pice
24 Piciu,23 52 55.52,-03 09 19.4,5.93,Pice
87 Piciu,01 14 07.65,+16 08 00.8,5.97,Pice
60 Piciu,00 47 23.62,+06 44 27.5,5.98,Pice
105 Piciu,01 39 40.77,+16 24 21.2,5.98,Pice
97 Piciu,01 29 52.83,+18 21 20.4,6.01,Pice
35 Piciu,00 14 58.78,+08 49 15.7,6.02,Pice
73 Piciu,01 04 52.62,+05 39 22.7,6.03,Pice
88 Piciu,01 14 42.40,+06 59 42.7,6.04,Pice
48 Piciu,00 28 12.69,+16 26 42.4,6.05,Pice
67 Piciu,00 55 58.52,+27 12 33.7,6.08,Pice
59 Piciu,00 47 13.56,+19 34 43.3,6.11,Pice
1 Piciu,22 54 59.47,+01 03 53.6,6.11,Pice
36 Piciu,00 16 34.06,+08 14 24.7,6.12,Pice
WW Piciu,00 59 49.67,+06 28 59.7,6.14,Pice
75 Piciu,01 06 33.62,+12 57 21.5,6.14,Pice
HD 217107,22 58 15.54,-02 23 43.2,6.17,Pice
5 Ceti,00 08 12.09,-02 26 51.7,6.18,Pice
3 Piciu,23 00 37.88,+00 11 09.0,6.22,Pice
26 Piciu,23 55 07.78,+07 04 15.7,6.22,Pice
78 Piciu,01 08 01.20,+32 00 43.9,6.23,Pice
101 Piciu,01 35 46.44,+14 39 41.2,6.23,Pice
42 Piciu,00 22 25.45,+13 28 56.8,6.25,Pice
9 Piciu,23 27 14.77,+01 07 21.7,6.26,Pice
109 Piciu,01 44 55.85,+20 05 00.3,6.27,Pice
WZ Piciu,02 06 12.27,+08 14 53.3,6.27,Pice
76 Piciu,01 06 11.20,+32 10 53.6,6.28,Pice
25 Piciu,23 53 04.75,+02 05 26.3,6.29,Pice
HD 6,00 05 03.80,-00 30 10.5,6.32,Pice
31 Piciu,00 02 24.17,+08 57 24.6,6.33,Pice
DT Piciu,01 14 04.87,+28 31 46.9,6.33,Pice
77 Piciu,01 05 49.22,+04 54 31.2,6.35,Pice
CY Piciu,01 36 43.52,+07 49 53.4,6.39,Pice
13 Piciu,23 31 57.56,-01 05 09.3,6.39,Pice
46 Piciu,00 27 58.48,+19 30 50.7,6.4,Pice
4 Ceti,00 07 44.10,-02 32 55.3,6.43,Pice
Zeta Piciu,01 13 45.17,+07 34 42.2,6.44,Pice
15 Piciu,23 35 28.61,+01 18 47.5,6.47,Pice
43 Piciu,00 24 38.15,+14 18 55.9,6.48,Pice
61 Piciu,00 47 54.73,+20 55 31.1,6.51,Pice
HR 515,01 46 35.27,+17 24 45.7,6.55,Pice
40 Piciu,00 19 56.28,+16 15 03.2,6.6,Pice
38 Piciu,00 17 24.50,+08 52 34.8,6.66,Pice
104 Piciu,01 39 15.39,+14 17 08.3,6.74,Pice
45 Piciu,00 25 41.89,+07 41 28.4,6.77,Pice
65 Piciu,00 49 53.11,+27 42 37.1,7.0,Pice
95 Piciu,01 27 39.81,+05 21 11.2,7.01,Pice
65 Piciu,00 49 53.20,+27 42 37.0,7.1,Pice
HD 8574,01 25 12.52,+28 34 00.1,7.11,Pice
77 Piciu,01 05 51.42,+04 54 35.0,7.26,Pice
100 Piciu,01 34 51.61,+12 33 31.2,7.28,Pice
HD 217786,23 03 08,-00 25 47,7.8,Pice
HD 4313,00 45 40.36,+07 50 42.1,7.82,Pice
HD 12484,02 02 27.0,+02 48 57,8.17,Pice
HD 5891,01 00 33,+20 17 33,8.25,Pice
HD 1502,00 19 17,+14 03 17,8.52,Pice
HD 218566,23 09 11,-02 15 39,8.63,Pice
HD 4203,00 44 41.20,+20 26 56.1,8.68,Pice
HD 3167,00 34 57.5,+04 22 53,8.94,Pice
HD 224690,00 00 01.0,-19 29 55.8,9.23,Pice
WAP-76,01 46 32.0,+02 42 02,9.5,Pice
WAP-118,01 18 12.0,+02 42 10,11.02,Pice
WAP-32,00 15 51,+01 12 02,11.3,Pice
WAP-28,23 34 27.88,-01 34 48.1,12.0,Pice
Van aanen' tar,00 49 09.90,+05 23 19.0,12.36,Pice
Foalhaut,22 57 38.83,-29 37 18.6,1.17,Pici Autrinu
Epilon Pici Autrini,22 40 39.33,-27 02 37.0,4.18,Pici Autrinu
Delta Pici Autrini,22 55 56.89,-32 32 22.9,4.2,Pici Autrinu
Beta Pici Autrini,22 31 30.29,-32 20 45.7,4.29,Pici Autrinu
Iota Pici Autrini,21 44 56.79,-33 01 32.0,4.35,Pici Autrinu
Gaa Pici Autrini,22 52 31.56,-32 52 31.6,4.46,Pici Autrinu
u Pici Autrini,22 08 22.95,-32 59 18.2,4.5,Pici Autrinu
Tau Pici Autrini,22 10 08.48,-32 32 54.4,4.94,Pici Autrinu
Upilon Pici Autrini,22 08 25.93,-34 02 37.4,4.99,Pici Autrinu
Theta Pici Autrini,21 47 44.17,-30 53 53.9,5.02,Pici Autrinu
Pi Pici Autrini,23 03 29.76,-34 44 58.6,5.12,Pici Autrinu
HD 210271,22 09 55.71,-34 00 54.1,5.37,Pici Autrinu
Eta Pici Autrini,22 00 50.22,-28 27 13.5,5.43,Pici Autrinu
Labda Pici Autrini,22 14 18.74,-27 46 00.9,5.45,Pici Autrinu
WX Pici Autrini,22 59 35.76,-29 27 44.4,5.51,Pici Autrinu
HD 217484,23 01 19.35,-28 51 14.1,5.55,Pici Autrinu
HD 210848,22 13 44.39,-25 10 51.3,5.58,Pici Autrinu
VZ Pici Autrini,22 38 51.46,-33 04 53.0,5.66,Pici Autrinu
HD 217303,23 00 05.77,-25 09 50.4,5.66,Pici Autrinu
8 Pici Autrini,21 36 10.90,-26 10 17.2,5.73,Pici Autrinu
HD 214122,22 36 35.47,-31 39 49.3,5.82,Pici Autrinu
HD 214690,22 40 22.38,-30 39 30.1,5.88,Pici Autrinu
HD 213135,22 29 45.94,-27 06 26.0,5.95,Pici Autrinu
6 Pici Autrini,21 32 14.58,-33 56 40.6,5.97,Pici Autrinu
UU Pici Autrini,22 04 36.76,-26 49 20.4,5.97,Pici Autrinu
21 Pici Autrini,22 51 20.94,-29 32 10.6,5.99,Pici Autrinu
HD 216761,22 55 51.54,-31 37 59.5,6.09,Pici Autrinu
